"","stnr","z","x","y","NO"
"409",10070,600,302895,6935759,TRUE
"410",10100,788,295087,6938108,TRUE
"411",12640,271,256051,6780224,TRUE
"412",12660,226,256091,6781898,TRUE
"413",12666,130,254452,6783375,TRUE
"414",12670,260,256284,6784678,TRUE
"415",12680,240,256243,6781518,TRUE
"416",12690,484,258015,6786279,TRUE
"417",13110,205,253250,6790354,TRUE
"418",11610,154,265300,6748029,TRUE
"419",11620,240,264085,6748310,TRUE
"420",11850,740,253892,6761290,TRUE
"421",11900,190,261537,6765437,TRUE
"422",9303,1025,216008,6912008,TRUE
"423",9310,1012,216453,6910728,TRUE
"424",9380,1475,207174,6919507,TRUE
"425",16300,463,199494,6881895,TRUE
"426",16370,470,198016,6887255,TRUE
"427",16400,560,197420,6889604,TRUE
"428",16450,546,191443,6896349,TRUE
"429",16540,645,193256,6896530,TRUE
"430",16550,643,193542,6896616,TRUE
"431",16551,653,192663,6896304,TRUE
"432",16560,638,192773,6896126,TRUE
"433",16600,952,202000,6900337,TRUE
"434",16610,973,202117,6899946,TRUE
"435",16611,980,202114,6899857,TRUE
"436",16620,930,212593,6906579,TRUE
"437",16720,532,189521,6897724,TRUE
"438",16740,626,189295,6898920,TRUE
"439",16750,626,189420,6898909,TRUE
"440",16780,545,186220,6899900,TRUE
"441",16790,551,182933,6900846,TRUE
"442",16830,572,172707,6904918,TRUE
"443",16840,540,171839,6905003,TRUE
"444",16845,620,171484,6906573,TRUE
"445",16850,621,169371,6909134,TRUE
"446",16900,621,164357,6912042,TRUE
"447",16950,617,160466,6913611,TRUE
"448",61600,711,146167,6918827,TRUE
"449",61630,579,147324,6921509,TRUE
"450",61650,575,149620,6918463,TRUE
"451",61770,621,155986,6917623,TRUE
"452",15480,374,156873,6877835,TRUE
"453",15540,378,155848,6876705,TRUE
"454",15630,1140,145329,6884406,TRUE
"455",15660,432,141612,6882059,TRUE
"456",15720,712,125425,6884414,TRUE
"457",15730,664,127148,6882990,TRUE
"458",15800,591,128045,6888987,TRUE
"459",15890,872,116537,6897707,TRUE
"460",15910,906,114928,6897666,TRUE
"461",15950,930,102349,6898710,TRUE
"462",15060,382,161814,6872811,TRUE
"463",15090,495,157280,6871100,TRUE
"464",15270,1894,149452,6856140,TRUE
"465",15310,594,148017,6860683,TRUE
"466",15360,674,145173,6859172,TRUE
"467",15430,701,143377,6861613,TRUE
"468",15460,1800,138201,6845720,TRUE
"469",55290,1413,128529,6845686,TRUE
"470",14160,756,194512,6865544,TRUE
"471",14260,896,180354,6846308,TRUE
